Clave de idioma;Plan de cuentas;Cuenta de mayor;Texto breve;Texto explicativo;Texto explicativo
ES;XSON;1002010093;Transferencias;Transferencias - Suntrust Payroll;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010094;Otros debitos;Otros debitos - Suntrust Payroll;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010095;Otros creditos;Otros creditos - Suntrust Payroll;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010100;Suntrust Miami 2;Suntrust Miami 2;SUNTRUST MIAMI 2
ES;XSON;1002010101;Entrada de cheques;Entrada de cheques - Suntrust Miami 2;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010102;Salida de cheques;Salida de cheques - Suntrust Miami 2;SALIDA DE CHEQUES - SUNTR
ES;XSON;1002010103;Transferencias;Transferencias - Suntrust Miami 2;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010104;Otros debitos;Otros debitos - Suntrust Miami 2;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010105;Otros creditos;Otros creditos - Suntrust Miami 2;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010120;Suntrust Miami;Suntrust Miami 'Claxson Playout Inc.';SUNTRUST MIAMI 'CLAXSON P
ES;XSON;1002010121;Entrada de cheques;Entrada de cheques - Suntrust Claxson Playout Inc;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010122;Salida de cheques;Salida de cheques - Suntrust Claxson Playout Inc;SALIDA DE CHEQUES - SUNTR
ES;XSON;1002010123;Transferencias;Transferencias - Suntrust Claxson Playout Inc;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010124;Otros debitos;Otros debitos - Suntrust Claxson Playout Inc;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010125;Otros creditos;Otros creditos - Suntrust Claxson Playout Inc;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010130;Deutsche Bank USD;Deutsche Bank USD;DEUTSCHE BANK USD
ES;XSON;1002010131;Entrada de cheques;Entrada de cheques - Deutsche Bank USD;ENTRADA DE CHEQUES - DEUT
ES;XSON;1002010132;Salida de cheques;Salida de cheques - Deutsche Bank USD;SALIDA DE CHEQUES - DEUTS
ES;XSON;1002010133;Transferencias;Transferencias - Deutsche Bank USD;TRANSFERENCIAS - DEUTSCHE
ES;XSON;1002010134;Otros debitos;Otros debitos - Deutsche Bank USD;OTROS DEBITOS - DEUTSCHE
ES;XSON;1002010135;Otros creditos;Otros creditos - Deutsche Bank USD;OTROS CREDITOS - DEUTSCHE
ES;XSON;1002010140;Deutsche Bank EUR;Deutsche Bank EUR;DEUTSCHE BANK EUR
ES;XSON;1002010141;Entrada de cheques;Entrada de cheques - Deutsche Bank EUR;ENTRADA DE CHEQUES - DEUT
ES;XSON;1002010142;Salida de cheques;Salida de cheques - Deutsche Bank EUR;SALIDA DE CHEQUES - DEUTS
ES;XSON;1002010143;Transferencias;Transferencias - Deutsche Bank EUR;TRANSFERENCIAS - DEUTSCHE
ES;XSON;1002010144;Otros debitos;Otros debitos - Deutsche Bank EUR;OTROS DEBITOS - DEUTSCHE
ES;XSON;1002010145;Otros creditos;Otros creditos - Deutsche Bank EUR;OTROS CREDITOS - DEUTSCHE
ES;XSON;1002010150;Depositos ANCINE;Depositos ANCINE;DEPOSITOS ANCINE
ES;XSON;1002010160;Citco Bank USD;Citco Bank USD;CITCO BANK USD
ES;XSON;1002010161;Entrada de cheques;Entrada de cheques - Citco Bank USD;ENTRADA DE CHEQUES - CITC
ES;XSON;1002010162;Salida de cheques;Salida de cheques - Citco Bank USD;SALIDA DE CHEQUES - CITCO
ES;XSON;1002010163;Transferencias;Transferencias - Citco Bank USD;TRANSFERENCIAS - CITCO BA
ES;XSON;1002010164;Otros debitos;Otros dÇbitos - Citco Bank USD;OTROS DêBITOS - CITCO BAN
ES;XSON;1002010165;Otros creditos;Otros crÇditos - Citco Bank USD;OTROS CRêDITOS - CITCO BA
ES;XSON;1002010170;Citco Bank EUR;Citco Bank EUR;CITCO BANK EUR
ES;XSON;1002010171;Entrada de cheques;Entrada de cheques - Citco Bank EUR;ENTRADA DE CHEQUES - CITC
ES;XSON;1002010172;Salida de cheques;Salida de cheques - Citco Bank EUR;SALIDA DE CHEQUES - CITCO
ES;XSON;1002010173;Transferencias;Transferencias - Citco Bank EUR;TRANSFERENCIAS - CITCO BA
ES;XSON;1002010174;Otros debitos;Otros dÇbitos - Citco Bank EUR;OTROS DêBITOS - CITCO BAN
ES;XSON;1002010175;Otros creditos;Otros crÇditos - Citco Bank EUR;OTROS CRêDITOS - CITCO BA
ES;XSON;1002010180;Cuenta Corriente U$S;MMG Bank Corporation CC U$S 130000000000801;MMG BANK CORPORATION CC U
ES;XSON;1002010181;Entrada de cheques M;Entrada de cheques ? Bco. MMG Bank Corp.CC USD;ENTRADA DE CHEQUES ? BCO.
ES;XSON;1002010182;Salida de cheques MM;Salida de cheques ? MMG Bank Corporation CC USD;SALIDA DE CHEQUES ? MMG B
ES;XSON;1002010183;Transferencias MMG;Transferencias ? MMG Bank Corporation CC USD;TRANSFERENCIAS ? MMG BANK
ES;XSON;1002010184;Otros dÇbitos MMG;Otros DÇbitos ? MMG Bank Corporation CC USD;OTROS DêBITOS ? MMG BANK
ES;XSON;1002010185;Otros crÇditos MMG;Otros CrÇditos ? MMG Bank Corporation CC USD;OTROS CRêDITOS ? MMG BANK
ES;XSON;1002010200;Chase Bank Miami;Chase Bank Miami;CHASE BANK MIAMI
ES;XSON;1002010201;Entrada de cheques-C;Entrada de cheques-Chase Bank Miami;ENTRADA DE CHEQUES-CHASE
ES;XSON;1002010202;Salida de cheques-Ch;Salida de cheques-Chase Bank Miami;SALIDA DE CHEQUES-CHASE B
ES;XSON;1002010203;Transferencias - Cha;Transferencias - Chase Bank Miami;TRANSFERENCIAS - CHASE BA
ES;XSON;1002010204;Otros dÇbitos - Chas;Otros dÇbitos - Chase Bank Miami;OTROS DêBITOS - CHASE BAN
ES;XSON;1002010205;Otros crÇditos - Cha;Otros crÇditos - Chase Bank Miami;OTROS CRêDITOS - CHASE BA
ES;XSON;1002010300;Santander Rio - USD;Santander Rio - USD;SANTANDER RIO - USD
ES;XSON;1002010301;Entrada de cheques-S;Entrada de cheques-Santander Rio - USD;ENTRADA DE CHEQUES-SANTAN
ES;XSON;1002010302;Salida de cheques-Sa;Salida de cheques-Santander Rio - USD;SALIDA DE CHEQUES-SANTAND
ES;XSON;1002010303;Transferencias - San;Transferencias - Santander Rio - USD;TRANSFERENCIAS - SANTANDE
ES;XSON;1002010304;Otros dÇbitos - Sant;Otros dÇbitos - Santander Rio - USD;OTROS DêBITOS - SANTANDER
ES;XSON;1002010305;Otros crÇditos - San;Otros crÇditos - Santander Rio - USD;OTROS CRêDITOS - SANTANDE
ES;XSON;1002010400;Banco Patagonia - US;Banco Patagonia - USD;BANCO PATAGONIA - USD
ES;XSON;1002010401;Entrada de cheques-S;Entrada de cheques- Banco Patagonia - USD;ENTRADA DE CHEQUES- BANCO
ES;XSON;1002010402;Salida de cheques-US;Salida de cheques- Bco.Patagonia- USD;SALIDA DE CHEQUES- BCO.PA
ES;XSON;1002010403;Transferencias - pat;Transferencias - Bco Patagonia-USD;TRANSFERENCIAS - BCO PATA
ES;XSON;1002010404;Otros dÇbitos - pata;Otros dÇbitos - Bco.Ptagonia - USD;OTROS DêBITOS - BCO.PTAGO
ES;XSON;1002010405;Otros crÇditos - Pat;Otros crÇditos - Bco.Patagonia - USD;OTROS CRêDITOS - BCO.PATA
